state,population_2019,source
Andhra Pradesh,52673733,MoHFW 2011-2036 projections (2019)
Arunachal Pradesh,1541157,MoHFW 2011-2036 projections (2019)
Assam,35607039,MoHFW 2011-2036 projections (2019)
Bihar,123764873,MoHFW 2011-2036 projections (2019)
Chhattisgarh,29436231,MoHFW 2011-2036 projections (2019)
Delhi,19814000,MoHFW 2011-2036 projections (2019)
Goa,1558500,MoHFW 2011-2036 projections (2019)
Gujarat,68813131,MoHFW 2011-2036 projections (2019)
Haryana,28828285,MoHFW 2011-2036 projections (2019)
Himachal Pradesh,7451955,MoHFW 2011-2036 projections (2019)
Jammu & Kashmir,13203000,MoHFW 2011-2036 projections (2019)
Jharkhand,38458145,MoHFW 2011-2036 projections (2019)
Karnataka,65428575,MoHFW 2011-2036 projections (2019)
Kerala,35699443,MoHFW 2011-2036 projections (2019)
Madhya Pradesh,84490285,MoHFW 2011-2036 projections (2019)
Maharashtra,121638815,MoHFW 2011-2036 projections (2019)
Manipur,3091545,MoHFW 2011-2036 projections (2019)
Meghalaya,3417364,MoHFW 2011-2036 projections (2019)
Mizoram,1239249,MoHFW 2011-2036 projections (2019)
Nagaland,2211047,MoHFW 2011-2036 projections (2019)
Odisha,46356334,MoHFW 2011-2036 projections (2019)
Punjab,30216234,MoHFW 2011-2036 projections (2019)
Rajasthan,80094491,MoHFW 2011-2036 projections (2019)
Sikkim,688908,MoHFW 2011-2036 projections (2019)
Tamil Nadu,75752170,MoHFW 2011-2036 projections (2019)
Telangana,37145896,MoHFW 2011-2036 projections (2019)
Tripura,4165905,MoHFW 2011-2036 projections (2019)
Uttar Pradesh,228959599,MoHFW 2011-2036 projections (2019)
Uttarakhand,11255453,MoHFW 2011-2036 projections (2019)
West Bengal,98058697,MoHFW 2011-2036 projections (2019)
Andaman & Nicobar Islands,415000,MoHFW 2011-2036 projections (2019)
Chandigarh,1158473,MoHFW 2011-2036 projections (2019)
Dadra & Nagar Haveli and Daman & Diu,958405,MoHFW 2011-2036 projections (2019)
Lakshadweep,73450,MoHFW 2011-2036 projections (2019)
Puducherry,1521021,MoHFW 2011-2036 projections (2019)
