state,stray_dogs,population_2019,stray_per_1000
Andaman & Nicobar Islands,5300.0,415000,12.771084337349397
Andhra Pradesh,471884.0,52673733,8.958620798719544
Arunachal Pradesh,11383.0,1541157,7.386009342331768
Assam,213898.0,35607039,6.007183017942042
Bihar,696142.0,123764873,5.624713887921979
Chandigarh,12922.0,1158473,11.154338512852695
Chhattisgarh,394686.0,29436231,13.408170359853473
Dadra & Nagar Haveli and Daman & Diu,3164.0,958405,3.301318336193989
Delhi,55462.0,19814000,2.799131926920359
Goa,27864.0,1558500,17.878729547641964
Gujarat,931170.0,68813131,13.531865015704632
Haryana,464578.0,28828285,16.115353376033294
Himachal Pradesh,76933.0,7451955,10.32386803194598
Jammu & Kashmir,308897.0,13203000,23.39597061273953
Jharkhand,436260.0,38458145,11.34376086002068
Karnataka,1141173.0,65428575,17.441507781577087
Kerala,289986.0,35699443,8.12298387960843
Lakshadweep,0.0,73450,0.0
Madhya Pradesh,1009076.0,84490285,11.943100913909808
Maharashtra,1276399.0,121638815,10.493352800255412
Manipur,0.0,3091545,0.0
Meghalaya,10653.0,3417364,3.117314983127346
Mizoram,69.0,1239249,0.05567888293635904
Nagaland,342.0,2211047,0.15467785171459494
Odisha,1734399.0,46356334,37.414498739266136
Puducherry,19687.0,1521021,12.943279547093695
Punjab,290624.0,30216234,9.618141029752417
Rajasthan,1275596.0,80094491,15.926139039949701
Sikkim,10695.0,688908,15.524569318399553
Tamil Nadu,441208.0,75752170,5.824361203118009
Telangana,392932.0,37145896,10.57807301242646
Tripura,17078.0,4165905,4.099469383003213
Uttar Pradesh,2059261.0,228959599,8.993992865964096
Uttarakhand,84459.0,11255453,7.503829477143213
West Bengal,1140165.0,98058697,11.627372531780633
